# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.15.2

amm::buying::cca7e922-e1d3-3335-bf22-3942cae9f9cf::amount, long, 0000000000000001
amm::buying::cca7e922-e1d3-3335-bf22-3942cae9f9cf::item, string, 800A69726F6E5F626F6F7473
amm::buying::cca7e922-e1d3-3335-bf22-3942cae9f9cf::last_menu, string, 800B6361745F636F6D62617465
amm::gui::815d7bfe-e2fb-3d90-995a-20143c85beef::status, string, 800773656C6C696E67
amm::gui::cc7d8dee-b2af-384c-b32f-feae4efa4c68::status, string, 800773656C6C696E67
amm::gui::cca7e922-e1d3-3335-bf22-3942cae9f9cf::status, string, 800773656C6C696E67
amm::initialized, boolean, 01
"amm::k::itemtype:-1,false,acacia_leaves|", long, 0000000000001388
"amm::k::itemtype:-1,false,acacia_log|", long, 0000000000001388
"amm::k::itemtype:-1,false,acacia_planks|", long, 0000000000001388
"amm::k::itemtype:-1,false,acacia_sapling|", long, 0000000000001388
"amm::k::itemtype:-1,false,activator_rail|", long, 0000000000001388
"amm::k::itemtype:-1,false,allium|", long, 0000000000001388
"amm::k::itemtype:-1,false,amethyst_shard|", long, 0000000000001388
"amm::k::itemtype:-1,false,ancient_debris|", long, 0000000000001388
"amm::k::itemtype:-1,false,andesite|", long, 0000000000001388
"amm::k::itemtype:-1,false,anvil|", long, 0000000000001388
"amm::k::itemtype:-1,false,apple|", long, 00000000000001F4
"amm::k::itemtype:-1,false,arrow|", long, 0000000000001388
"amm::k::itemtype:-1,false,axolotl_bucket|", long, 0000000000001388
"amm::k::itemtype:-1,false,azalea_leaves|", long, 0000000000001388
"amm::k::itemtype:-1,false,azalea|", long, 0000000000001388
"amm::k::itemtype:-1,false,azure_bluet|", long, 0000000000001388
"amm::k::itemtype:-1,false,baked_potato|", long, 0000000000001388
"amm::k::itemtype:-1,false,bamboo_block|", long, 0000000000001388
"amm::k::itemtype:-1,false,bamboo_mosaic|", long, 0000000000001388
"amm::k::itemtype:-1,false,barrel|", long, 0000000000001388
"amm::k::itemtype:-1,false,beacon|", long, 0000000000001388
